frame,midi numbers
0,16.90562
1,17.042511
2,17.180492
3,17.319584
4,17.4598
5,17.601162
6,17.74369
7,17.887398
8,18.03231
9,18.178444
10,18.325823
11,18.47447
12,18.6244
13,18.77564
14,18.928217
15,19.082148
16,19.23746
17,19.394178
18,19.552328
19,19.711937
20,19.873028
21,20.035635
22,20.199783
23,20.365501
24,20.532822
25,20.701775
26,20.872395
27,21.044712
28,21.218761
29,21.39458
30,21.5722
31,21.751665
32,21.933002
33,22.116268
34,22.301487
35,22.488712
36,22.677986
37,22.869352
38,23.062855
39,23.258545
40,23.456474
41,23.656693
42,23.859253
43,24.064207
44,24.271622
45,24.481548
46,24.694057
47,24.909203
48,25.127054
49,25.347687
50,25.571165
51,25.797564
52,26.02697
53,26.259447
54,26.495092
55,26.73399
56,26.97623
57,27.221909
58,27.471127
59,27.72398
60,27.980583
61,28.241047
62,28.505487
63,28.774033
64,29.046806
65,29.323944
66,29.605598
67,29.891907
68,30.18303
69,30.479134
70,30.780388
71,31.086979
72,31.399097
73,31.71695
74,32.04074
75,32.37071
76,32.707085
77,33.050125
78,33.4001
79,33.7573
80,34.122025
81,34.4946
82,34.87537
83,35.264698
84,35.662987
85,36.070652
86,36.48815
87,36.91597
88,37.354626
89,37.80469
90,38.26676
91,38.74151
92,39.229645
93,39.73194
94,40.249252
95,40.782494
96,41.33268
97,41.900932
98,42.48847
99,43.09665
100,43.726974
101,44.38112
102,45.06096
103,45.768578
104,46.50637
105,47.277008
106,48.08355
107,48.929512
108,49.81894
109,50.75656
110,51.74787
111,52.799416
112,53.91899
113,55.115997
114,56.401966
115,57.791164
116,59.301647
117,60.956623
118,62.786697
119,64.833336
120,67.15477
121,69.83643
122,73.01098
123,76.90136
124,81.92731
125,89.038216
126,101.315216
127,160.76558
128,160.76558
129,160.76558
130,160.76558
131,160.76558
132,160.76558
133,43.003857
134,43.009125
135,43.015194
136,43.021004
137,43.02128
138,43.019173
139,43.02048
140,43.022774
141,43.02129
142,43.01952
143,43.020447
144,55.68495
145,55.55921
146,55.332504
147,55.25577
148,43.020264
149,43.020546
150,43.020977
151,43.02094
152,55.05156
153,54.991173
154,55.023136
155,55.05335
156,55.038284
157,55.019775
158,55.055992
159,55.149406
160,55.25197
161,55.31221
162,55.286716
163,55.214447
164,55.19552
165,55.245018
166,55.309925
167,55.34501
168,55.32915
169,55.280495
170,55.26376
