frame,frequency
0,21.708096
1,21.880428
2,22.055515
3,22.233429
4,22.414228
5,22.598
6,22.784815
7,22.974731
8,23.167852
9,23.364235
10,23.563978
11,23.767183
12,23.973898
13,24.18426
14,24.398336
15,24.616243
16,24.838066
17,25.063944
18,25.29395
19,25.528225
20,25.766867
21,26.010027
22,26.257814
23,26.510365
24,26.767832
25,27.030334
26,27.298046
27,27.571115
28,27.8497
29,28.133976
30,28.424107
31,28.720287
32,29.022701
33,29.331564
34,29.647057
35,29.969418
36,30.298866
37,30.635645
38,30.97998
39,31.33215
40,31.69242
41,32.06107
42,32.4384
43,32.824715
44,33.22034
45,33.625614
46,34.040916
47,34.466587
48,34.903034
49,35.350704
50,35.809994
51,36.281353
52,36.765324
53,37.26235
54,37.77302
55,38.29787
56,38.837513
57,39.392582
58,39.963757
59,40.551723
60,41.15726
61,41.781147
62,42.424236
63,43.087444
64,43.771717
65,44.47805
66,45.207584
67,45.961437
68,46.74085
69,47.547165
70,48.38178
71,49.246227
72,50.142124
73,51.071224
74,52.0354
75,53.03669
76,54.07726
77,55.159473
78,56.28589
79,57.45929
80,58.682636
81,59.959213
82,61.29258
83,62.686573
84,64.145454
85,65.67386
86,67.276886
87,68.96013
88,70.729744
89,72.5926
90,74.55621
91,76.62901
92,78.82038
93,81.140755
94,83.601906
95,86.21703
96,89.00101
97,91.9708
98,95.14562
99,98.54749
100,102.201614
101,106.13717
102,110.388
103,114.993454
104,119.99999
105,125.462326
106,131.44562
107,138.02818
108,145.30475
109,153.39133
110,162.43091
111,172.60268
112,184.13359
113,197.31537
114,212.53012
115,230.28714
116,251.28203
117,276.489
118,307.31714
119,345.8824
120,395.51553
121,461.7802
122,554.7169
123,694.4882
124,928.421
125,1399.9999
126,2845.1606
127,88200.01
128,88200.01
129,88200.01
130,88200.01
131,88200.01
132,88200.01
133,98.02068
134,98.05053
135,98.08491
136,98.11783
137,98.119385
138,98.10745
139,98.11486
140,98.12785
141,98.11945
142,98.10941
143,98.11467
144,203.9077
145,202.43207
146,199.79848
147,198.91487
148,98.11363
149,98.115234
150,98.11767
151,98.117455
152,196.5823
153,195.89781
154,196.25981
155,196.60262
156,196.43163
157,196.22174
158,196.63264
159,197.6965
160,198.87117
161,199.56439
162,199.27074
163,198.44063
164,198.22379
165,198.79137
166,199.53806
167,199.94284
168,199.75978
169,199.19914
170,199.00668
171,199.2984
172,199.48453
173,198.95525
174,198.09201
175,197.73033
176,198.01123
177,198.4767
178,198.52415
179,197.8037
180,196.82893
181,196.38696
182,196.48582
183,196.66138
184,196.5947
185,196.45778
186,196.61844
187,197.18076
188,197.8686
189,198.28635
190,198.15788
191,197.71872
192,197.56491
193,197.8731
194,198.33125
195,198.58858
196,198.49933
197,198.21657
198,198.12488
199,198.30539
200,198.43163
201,198.15164
202,197.6344
203,197.37064
204,197.52112
205,197.82916
206,197.89655
207,197.48953
208,196.86658
209,196.52202
210,196.54851
211,196.67172
212,196.64572
213,196.54306
214,196.61523
215,196.97688
216,197.4636
217,197.78627
218,197.73524
219,197.43985
220,197.30098
221,197.49101
222,197.82205
223,198.02695
224,197.98557
225,197.7989
226,197.72675
227,197.85034
228,197.95744
229,197.7904
230,197.42418
231,197.202
232,197.28403
233,197.51399
234,197.59503
235,197.33554
236,196.88098
237,196.5886
238,196.57892
239,196.6739
240,196.6699
241,196.58879
242,196.3574
243,196.28764
244,196.7537
245,197.3109
246,197.47452
247,197.27972
248,197.07806
249,197.10461
250,197.41173
251,197.73106
252,197.67804
253,197.38512
254,197.38582
255,197.60226
256,197.7719
257,197.73015
258,197.32216
259,196.79375
260,196.50192
261,196.57858
262,196.79875
263,196.80205
264,196.42673
265,195.9288
266,195.65671
267,195.68724
268,195.80887
269,195.82089
270,195.76144
271,195.85889
272,196.22174
273,196.69331
274,196.97227
275,196.86246
276,196.5706
277,196.49863
278,196.79266
279,197.2655
280,197.63174
281,197.6848
282,197.5623
283,197.58446
284,197.75505
285,197.7569
286,197.38785
287,196.85391
288,196.5177
289,196.55429
290,196.77606
291,196.82338
292,196.48901
293,195.98459
294,195.67274
295,195.673
296,195.79749
297,195.8265
298,195.76491
299,195.83087
300,196.16441
301,196.63771
302,196.95787
303,196.89453
304,196.60223
305,196.48627
306,196.74004
307,197.20662
308,197.60112
309,197.69478
310,197.575
311,197.57004
312,197.73602
313,197.77773
314,197.45168
315,196.91768
316,196.53969
317,196.53293
318,196.75078
319,196.83826
320,196.54883
321,196.04385
322,195.69408
323,195.6608
324,195.78427
325,195.8304
326,195.77051
327,195.80753
328,196.10965
329,196.5797
330,196.9366
331,196.92245
332,196.63715
333,196.48029
334,196.6907
335,197.1457
336,197.56487
337,197.70047
338,197.58943
339,197.55838
340,197.71458
341,197.79176
342,197.51146
343,196.98383
344,196.56767
345,196.51505
346,196.72261
347,196.84586
348,196.60449
349,196.10571
350,195.721
351,195.65123
352,195.76982
353,195.83247
354,195.77792
355,195.78893
356,196.05801
357,196.51973
358,196.9088
359,196.94537
360,196.67438
361,196.48102
362,196.64557
363,197.0842
364,197.52333
365,197.7012
366,197.60497
367,197.54971
368,197.69138
369,197.79904
370,197.56644
371,197.05171
372,196.6024
373,196.50201
374,196.69336
375,196.84709
376,196.65578
